input,output
"Ce joueur a 20 ans et évolue au poste de Arrière gauche. Il a disputé 20 matchs, marqué 22 but(s) et délivré 18 passe(s) décisive(s).","Le poste d'Arrière gauche semble bien adapté à ce joueur jeune et dynamique avec une forte contribution offensive. Conseils : travaillez la vitesse de sprint, l’endurance aérobique et les centres en mouvement. Renforcez les quadriceps et les ischio-jambiers avec du squat et du gainage latéral."
"Ce joueur a 27 ans et évolue au poste de Défenseur central. Il a disputé 12 matchs, marqué 15 but(s) et délivré 6 passe(s) décisive(s).","Défenseur central est un poste adapté. Pour maintenir votre niveau : améliorez la force des jambes avec du leg press, la détente verticale pour les duels aériens, et les réflexes défensifs via des jeux de 1 contre 1."
"Ce joueur a 24 ans et évolue au poste de Milieu offensif. Il a disputé 29 matchs, marqué 8 but(s) et délivré 4 passe(s) décisive(s).","Le rôle de Milieu offensif convient bien vu l’impact sur le jeu. Pour progresser : travaillez les passes en une touche, la vision du jeu avec des exercices de prise d’information, et renforcez la sangle abdominale pour les appuis dynamiques."
"Ce joueur a 28 ans et évolue au poste de Attaquant. Il a disputé 15 matchs, marqué 1 but(s) et délivré 0 passe(s) décisive(s).","Le poste d'Attaquant est très approprié. Pour continuer à performer, faites des exercices de finition sous pression, travaillez les changements de direction rapides, les sauts verticaux (plyométrie) et les abdominaux."
"Ce joueur a 28 ans et évolue au poste de Ailier droit. Il a disputé 28 matchs, marqué 11 but(s) et délivré 4 passe(s) décisive(s).","L'Ailier droit semble bien positionné. Améliorez votre explosivité, travaillez les dribbles à haute vitesse, les courses en profondeur et le cardio avec des sprints fractionnés."
"Ce joueur a 20 ans et évolue au poste de Milieu défensif. Il a disputé 15 matchs, marqué 21 but(s) et délivré 18 passe(s) décisive(s).","Le poste de Milieu défensif correspond bien à ce profil. Pour progresser : travaillez les interceptions, la résistance physique et les passes longues. Ajoutez des exercices de musculation fonctionnelle et des drills de récupération."
"Ce joueur a 24 ans et évolue au poste de Latéral droit. Il a disputé 33 matchs, marqué 10 but(s) et délivré 15 passe(s) décisive(s).","Le poste de Latéral droit est pertinent. Pour améliorer vos performances : travaillez l’endurance, les montées rapides, et la précision des centres. Renforcez aussi les abducteurs et les mollets."
"Ce joueur a 29 ans et évolue au poste de Milieu offensif. Il a disputé 34 matchs, marqué 23 but(s) et délivré 20 passe(s) décisive(s).","Le rôle de Milieu offensif convient bien vu l’impact sur le jeu. Pour progresser : travaillez les passes en une touche, la vision du jeu avec des exercices de prise d’information, et renforcez la sangle abdominale pour les appuis dynamiques."
"Ce joueur a 21 ans et évolue au poste de Gardien de but. Il a disputé 16 matchs, marqué 0 but(s) et délivré 0 passe(s) décisive(s).","Le poste de Gardien de but est bien choisi. Pour optimiser les performances : entraînez les réflexes avec des drills à réaction, le gainage pour la stabilité, la détente verticale et le travail de plongeon latéral."
"Ce joueur a 28 ans et évolue au poste de Défenseur central. Il a disputé 21 matchs, marqué 18 but(s) et délivré 11 passe(s) décisive(s).","Défenseur central est un poste adapté. Pour maintenir votre niveau : améliorez la force des jambes avec du leg press, la détente verticale pour les duels aériens, et les réflexes défensifs via des jeux de 1 contre 1."
"Ce joueur a 24 ans et évolue au poste de Milieu offensif. Il a disputé 19 matchs, marqué 3 but(s) et délivré 15 passe(s) décisive(s).","Le rôle de Milieu offensif convient bien vu l’impact sur le jeu. Pour progresser : travaillez les passes en une touche, la vision du jeu avec des exercices de prise d’information, et renforcez la sangle abdominale pour les appuis dynamiques."
"Ce joueur a 26 ans et évolue au poste de Arrière gauche. Il a disputé 12 matchs, marqué 6 but(s) et délivré 3 passe(s) décisive(s).","Le poste d'Arrière gauche semble bien adapté à ce joueur jeune et dynamique avec une forte contribution offensive. Conseils : travaillez la vitesse de sprint, l’endurance aérobique et les centres en mouvement. Renforcez les quadriceps et les ischio-jambiers avec du squat et du gainage latéral."
"Ce joueur a 27 ans et évolue au poste de Arrière gauche. Il a disputé 21 matchs, marqué 9 but(s) et délivré 6 passe(s) décisive(s).","Le poste d'Arrière gauche semble bien adapté à ce joueur jeune et dynamique avec une forte contribution offensive. Conseils : travaillez la vitesse de sprint, l’endurance aérobique et les centres en mouvement. Renforcez les quadriceps et les ischio-jambiers avec du squat et du gainage latéral."
"Ce joueur a 29 ans et évolue au poste de Arrière gauche. Il a disputé 18 matchs, marqué 8 but(s) et délivré 8 passe(s) décisive(s).","Le poste d'Arrière gauche semble bien adapté à ce joueur jeune et dynamique avec une forte contribution offensive. Conseils : travaillez la vitesse de sprint, l’endurance aérobique et les centres en mouvement. Renforcez les quadriceps et les ischio-jambiers avec du squat et du gainage latéral."
"Ce joueur a 19 ans et évolue au poste de Milieu central. Il a disputé 28 matchs, marqué 25 but(s) et délivré 14 passe(s) décisive(s).","Le poste de Milieu central est stratégique et exigeant. Renforcez votre endurance, votre vision de jeu et votre capacité à changer rapidement d’orientation. Ajoutez des exercices de passes sous pression et du cardio intensif."
"Ce joueur a 31 ans et évolue au poste de Arrière gauche. Il a disputé 37 matchs, marqué 22 but(s) et délivré 8 passe(s) décisive(s).","Le poste d'Arrière gauche semble bien adapté à ce joueur jeune et dynamique avec une forte contribution offensive. Conseils : travaillez la vitesse de sprint, l’endurance aérobique et les centres en mouvement. Renforcez les quadriceps et les ischio-jambiers avec du squat et du gainage latéral."
